oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
2-2,15W-40,435.0,3712,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,1012,<1,<1,<1,<1,<1,0.0,N,104.9,12,7,18,,,,,,,,,
2-1,75W-90,224.0,7853,17,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,1 to 98,3,<1,263 to 394,<1,571 to 856,1 to 1129,1 to 366,1423,<1,<1,<1,<1,<1,0.0,N,94.4,43,4,50,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,341.0,8319,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,3,<1,1 to 132,<1,<1,1 to 1129,1 to 366,896,<1,<1,<1,<1,<1,0.0,N,315.1,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,187.0,8473,0,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1048,<1,<1,<1,<1,<1,0.0,N,100.9,13,8,18,,,,,,,,,
1-1,30,506.0,7726,5,1 to 192,141 to 211,<1,<1,<1,1 to 37,1 to 12,1 to 98,2,1 to 15,1 to 132,<1,1 to 286,2257 to 3385,731 to 1096,957,2,<1,<1,<1,<1,0.0,N,94.8,18,4,22,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,1242.0,9095,10,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,782,<1,<1,<1,<1,<1,0.0,N,325.0,6,4,15,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,871.0,8724,19,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,<1,2,<1,394 to 525,<1,571 to 856,1 to 1129,1 to 366,1412,<1,<1,<1,<1,<1,0.0,N,96.7,56,4,59,18 to 23,12 to 18,30186 to 45279,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,179.0,8548,1,1 to 192,1 to 71,1,1 to 17,<1,<1,<1,1 to 98,<1,43 to 58,<1,<1,856 to 1140,1129 to 2257,1096 to 1462,1055,<1,<1,<1,<1,<1,0.0,N,115.2,15,9,21,,,,,,,,,
1-3,85W-140,241.0,241,371,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,1014,<1,1,<1,<1,<1,0.0,N,341.6,5,4,16,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,1613 to 3226,145 to 290,0 to 16
1-1,30,941.0,8952,0,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,891,2,<1,<1,<1,<1,0.0,N,97.8,15,4,20,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
